Month	Champagne Sales
01-01	2851
01-02	2672
01-03	2755
01-04	2721
01-05	2946
01-06	3036
01-07	2282
01-08	2212
01-09	2922
01-10	4301
01-11	5764
01-12	7132
02-01	2541
02-02	2475
02-03	3031
02-04	3266
02-05	3776
02-06	3230
02-07	3028
02-08	1759
02-09	3595
02-10	4474
02-11	6838
02-12	8357
03-01	3113
03-02	3006
03-03	4047
03-04	3523
03-05	3937
03-06	3986
03-07	3260
03-08	1573
03-09	3528
03-10	5211
03-11	7614
03-12	9254
04-01	5375
04-02	3088
04-03	3718
04-04	4514
04-05	4520
04-06	4539
04-07	3663
04-08	1643
04-09	4739
04-10	5428
04-11	8314
04-12	10651
05-01	3633
05-02	4292
05-03	4154
05-04	4121
05-05	4647
05-06	4753
05-07	3965
05-08	1723
05-09	5048
05-10	6922
05-11	9858
05-12	11331
06-01	4016
06-02	3957
06-03	4510
06-04	4276
06-05	4968
06-06	4677
06-07	3523
06-08	1821
06-09	5222
06-10	6873
06-11	10803
06-12	13916
07-01	2639
07-02	2899
07-03	3370
07-04	3740
07-05	2927
07-06	3986
07-07	4217
07-08	1738
07-09	5221
07-10	6424
07-11	9842
07-12	13076
08-01	3934
08-02	3162
08-03	4286
08-04	4676
08-05	5010
08-06	4874
08-07	4633
08-08	1659
08-09	5951
08-10	6981
08-11	9851
08-12	12670
